schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11/3/24,2024,9,FALSE,CAR,23,22,NO,NO,-7,43.5,Bank of America Stadium,FALSE,,,,
11/3/24,2024,9,FALSE,CIN,41,24,LVR,CIN,-7.5,45,Paycor Stadium,FALSE,,,,
11/3/24,2024,9,FALSE,CLE,10,27,LAC,LAC,-2,42.5,FirstEnergy Stadium,FALSE,,,,
11/3/24,2024,9,FALSE,GB,14,24,DET,DET,-2.5,48.5,Lambeau Field,FALSE,,,,
11/3/24,2024,9,FALSE,MIN,21,13,IND,MIN,-6,47,U.S. Bank Stadium,FALSE,72,0,,indoor
11/3/24,2024,9,FALSE,NYG,22,27,WAS,WAS,-4,44,MetLife Stadium,FALSE,,,,
11/3/24,2024,9,FALSE,PHI,28,23,JAX,PHI,-7.5,46,Lincoln Financial Field,FALSE,,,,
11/3/24,2024,9,FALSE,SEA,20,26,LA,LAR,-1.5,48.5,Lumen Field,FALSE,,,,
11/3/24,2024,9,FALSE,TEN,20,17,NWE,TEN,-3.5,38,Nissan Stadium,FALSE,,,,
11/4/24,2024,9,FALSE,KC,30,24,TB,KC,-9,45.5,GEHA Field at Arrowhead Stadium,FALSE,,,,
11/7/24,2024,10,FALSE,BAL,35,34,CIN,BAL,-6,52.5,M&T Bank Stadium,FALSE,,,,
11/10/24,2024,10,FALSE,ARI,31,6,NYJ,NYJ,-2,46,State Farm Stadium,FALSE,72,0,,indoor
11/10/24,2024,10,FALSE,CAR,20,17,NYG,NYG,-6.5,40.5,Allianz Arena,TRUE,,,,
11/10/24,2024,10,FALSE,CHI,3,19,NWE,CHI,-6,37.5,Soldier Field,FALSE,,,,
11/10/24,2024,10,FALSE,DAL,6,34,PHI,PHI,-7,44.5,AT&T Stadium,FALSE,72,0,,indoor
11/10/24,2024,10,FALSE,HOU,23,26,DET,DET,-4,49,NRG Stadium,FALSE,72,0,,indoor
11/10/24,2024,10,FALSE,IND,20,30,BUF,BUF,-4.5,47,Lucas Oil Stadium,FALSE,72,0,,indoor
11/10/24,2024,10,FALSE,JAX,7,12,MIN,MIN,-7,42.5,TIAA Bank Field,FALSE,,,,
11/10/24,2024,10,FALSE,KC,16,14,DEN,KC,-7,42.5,GEHA Field at Arrowhead Stadium,FALSE,,,,
11/10/24,2024,10,FALSE,LAC,27,17,TEN,LAC,-8,40,SoFi Stadium,FALSE,72,0,,indoor
11/10/24,2024,10,FALSE,NO,20,17,ATL,ATL,-3.5,47.5,Caesars Superdome,FALSE,72,0,,indoor
11/10/24,2024,10,FALSE,TB,20,23,SF,SF,-6.5,50,Raymond James Stadium,FALSE,,,,
11/10/24,2024,10,FALSE,WAS,27,28,PIT,WAS,-2,45,FedEx Field,FALSE,,,,
11/11/24,2024,10,FALSE,LA,15,23,MIA,LAR,-2,49.5,SoFi Stadium,FALSE,72,0,,indoor
11/14/24,2024,11,FALSE,PHI,26,18,WAS,PHI,-4,49.5,Lincoln Financial Field,FALSE,,,,
11/17/24,2024,11,FALSE,BUF,30,21,KC,BUF,-2.5,47,Highmark Stadium,FALSE,,,,
11/17/24,2024,11,FALSE,CHI,19,20,GB,GB,-6,41,Soldier Field,FALSE,,,,
11/17/24,2024,11,FALSE,DEN,38,6,ATL,DEN,-2,44.5,Empower Field at Mile High,FALSE,,,,
11/17/24,2024,11,FALSE,DET,52,6,JAX,DET,-13.5,47.5,Ford Field,FALSE,72,0,,indoor
11/17/24,2024,11,FALSE,LAC,34,27,CIN,LAC,-1,48,SoFi Stadium,FALSE,72,0,,indoor
11/17/24,2024,11,FALSE,MIA,34,19,LVR,MIA,-7.5,43.5,Hard Rock Stadium,FALSE,,,,
11/17/24,2024,11,FALSE,NWE,22,28,LA,LAR,-4,43,Gillette Stadium,FALSE,,,,
11/17/24,2024,11,FALSE,NO,35,14,CLE,CLE,-1,44,Caesars Superdome,FALSE,72,0,,indoor
11/17/24,2024,11,FALSE,NYJ,27,28,IND,NYJ,-4,43,MetLife Stadium,FALSE,,,,
11/17/24,2024,11,FALSE,PIT,18,16,BAL,BAL,-3,48,Acrisure Stadium,FALSE,,,,
11/17/24,2024,11,FALSE,SF,17,20,SEA,SF,-6,49,Levi's Stadium,FALSE,,,,
11/17/24,2024,11,FALSE,TEN,13,23,MIN,MIN,-6,40,Nissan Stadium,FALSE,,,,
11/18/24,2024,11,FALSE,DAL,10,34,HOU,HOU,-7,41.5,AT&T Stadium,FALSE,72,0,,indoor
11/21/24,2024,12,FALSE,CLE,24,19,PIT,PIT,-3.5,36.5,FirstEnergy Stadium,FALSE,36,13,88,snow
11/24/24,2024,12,FALSE,CAR,27,30,KC,KC,-10.5,43,Bank of America Stadium,FALSE,,,,
11/24/24,2024,12,FALSE,CHI,27,30,MIN,MIN,-3,39.5,Soldier Field,FALSE,,,,
11/24/24,2024,12,FALSE,GB,38,10,SF,GB,-6,44.5,Lambeau Field,FALSE,,,,
11/24/24,2024,12,FALSE,HOU,27,32,TEN,HOU,-8,40.5,NRG Stadium,FALSE,72,0,,indoor
11/24/24,2024,12,FALSE,IND,6,24,DET,DET,-7,50.5,Lucas Oil Stadium,FALSE,72,0,,indoor
11/24/24,2024,12,FALSE,LVR,19,29,DEN,DEN,-5.5,41.5,Allegiant Stadium,FALSE,72,0,,indoor
11/24/24,2024,12,FALSE,LA,20,37,PHI,PHI,-3,48.5,SoFi Stadium,FALSE,72,0,,indoor
11/24/24,2024,12,FALSE,MIA,34,15,NWE,MIA,-7.5,45.5,Hard Rock Stadium,FALSE,,,,
11/24/24,2024,12,FALSE,NYG,7,30,TB,TB,-6,40,MetLife Stadium,FALSE,,,,
11/24/24,2024,12,FALSE,SEA,16,6,ARI,ARI,-1,46.5,Lumen Field,FALSE,,,,
11/24/24,2024,12,FALSE,WAS,26,34,DAL,WAS,-10.5,44.5,FedEx Field,FALSE,,,,
11/25/24,2024,12,FALSE,LAC,23,30,BAL,BAL,-3,51,SoFi Stadium,FALSE,72,0,,indoor
11/28/24,2024,13,FALSE,DAL,27,20,NYG,DAL,-4,38.5,AT&T Stadium,FALSE,72,0,,indoor
11/28/24,2024,13,FALSE,DET,23,20,CHI,DET,-10,48,Ford Field,FALSE,72,0,,indoor
11/28/24,2024,13,FALSE,GB,30,17,MIA,GB,-3.5,47.5,Lambeau Field,FALSE,27,10,63,
11/29/24,2024,13,FALSE,KC,19,17,LVR,KC,-13.5,42,GEHA Field at Arrowhead Stadium,FALSE,37,5,40,
12/1/24,2024,13,FALSE,ATL,13,17,LAC,LAC,-1,47,Mercedes-Benz Stadium,FALSE,72,0,,indoor
12/1/24,2024,13,FALSE,BAL,19,24,PHI,BAL,-3,50,M&T Bank Stadium,FALSE,41,7,41,
12/1/24,2024,13,FALSE,BUF,35,10,SF,BUF,-6.5,45.5,Highmark Stadium,FALSE,28,11,79,snow
12/1/24,2024,13,FALSE,CAR,23,26,TB,TB,-6.5,46,Bank of America Stadium,FALSE,51,7,14,
12/1/24,2024,13,FALSE,CIN,38,44,PIT,CIN,-3,46,Paycor Stadium,FALSE,32,9,43,
12/1/24,2024,13,FALSE,JAX,20,23,HOU,HOU,-3,45,TIAA Bank Field,FALSE,,,,
12/1/24,2024,13,FALSE,MIN,23,22,ARI,MIN,-3.5,45,U.S. Bank Stadium,FALSE,72,0,,indoor
12/1/24,2024,13,FALSE,NWE,24,25,IND,IND,-2.5,41.5,Gillette Stadium,FALSE,36,9,49,
12/1/24,2024,13,FALSE,NO,14,21,LA,LAR,-2.5,49,Caesars Superdome,FALSE,72,0,,indoor
12/1/24,2024,13,FALSE,NYJ,21,26,SEA,NYJ,-1.5,41.5,MetLife Stadium,FALSE,37,12,44,
12/1/24,2024,13,FALSE,WAS,42,19,TEN,WAS,-6,45,FedEx Field,FALSE,41,6,40,
12/2/24,2024,13,FALSE,DEN,41,32,CLE,DEN,-6.5,41.5,Empower Field at Mile High,FALSE,48,4,39,
12/5/24,2024,14,FALSE,DET,34,31,GB,DET,-3.5,52.5,Ford Field,FALSE,72,0,,indoor
12/8/24,2024,14,FALSE,ARI,18,30,SEA,ARI,-3,45.5,State Farm Stadium,FALSE,72,0,,indoor
12/8/24,2024,14,FALSE,KC,19,17,LAC,KC,-4.5,43,GEHA Field at Arrowhead Stadium,FALSE,,,,
12/8/24,2024,14,FALSE,LA,44,42,BUF,BUF,-3.5,50.5,SoFi Stadium,FALSE,72,0,,indoor
12/8/24,2024,14,FALSE,MIA,32,26,NYJ,MIA,-6.5,45,Hard Rock Stadium,FALSE,,,,
12/8/24,2024,14,FALSE,MIN,42,21,ATL,MIN,-6,46.5,U.S. Bank Stadium,FALSE,72,0,,indoor
12/8/24,2024,14,FALSE,NYG,11,14,NO,NO,-5.5,41,MetLife Stadium,FALSE,,,,
12/8/24,2024,14,FALSE,PHI,22,16,CAR,PHI,-14,45,Lincoln Financial Field,FALSE,,,,
12/8/24,2024,14,FALSE,PIT,27,14,CLE,PIT,-6,43,Acrisure Stadium,FALSE,,,,
12/8/24,2024,14,FALSE,SF,38,13,CHI,SF,-3,43.5,Levi's Stadium,FALSE,,,,
12/8/24,2024,14,FALSE,TB,28,13,LVR,TB,-6.5,47,Raymond James Stadium,FALSE,,,,
12/8/24,2024,14,FALSE,TEN,6,10,JAX,TEN,-3,40.5,Nissan Stadium,FALSE,,,,
12/9/24,2024,14,FALSE,DAL,20,27,CIN,CIN,-4.5,50.5,AT&T Stadium,FALSE,72,0,,indoor
12/12/24,2024,15,FALSE,SF,6,12,LA,SF,-3,48.5,Levi's Stadium,FALSE,,,,
12/15/24,2024,15,FALSE,ARI,30,17,NWE,ARI,-6,46.5,State Farm Stadium,FALSE,72,0,,indoor
12/15/24,2024,15,FALSE,CAR,14,30,DAL,CAR,-2.5,42,Bank of America Stadium,FALSE,,,,
12/15/24,2024,15,FALSE,CLE,7,21,KC,KC,-4,41,FirstEnergy Stadium,FALSE,,,,
12/15/24,2024,15,FALSE,DEN,31,13,IND,DEN,-4.5,44,Empower Field at Mile High,FALSE,,,,
12/15/24,2024,15,FALSE,DET,42,48,BUF,DET,-2,55.5,Ford Field,FALSE,72,0,,indoor
12/15/24,2024,15,FALSE,HOU,20,12,MIA,HOU,-2.5,46,NRG Stadium,FALSE,72,0,,indoor
12/15/24,2024,15,FALSE,JAX,25,32,NYJ,NYJ,-3.5,41.5,TIAA Bank Field,FALSE,,,,
12/15/24,2024,15,FALSE,LAC,17,40,TB,LAC,-3,46,SoFi Stadium,FALSE,72,0,,indoor
12/15/24,2024,15,FALSE,NO,19,20,WAS,WAS,-7.5,44.5,Caesars Superdome,FALSE,72,0,,indoor
12/15/24,2024,15,FALSE,NYG,14,35,BAL,BAL,-17,43.5,MetLife Stadium,FALSE,,,,
12/15/24,2024,15,FALSE,PHI,27,13,PIT,PHI,-5.5,43,Lincoln Financial Field,FALSE,,,,
12/15/24,2024,15,FALSE,SEA,13,30,GB,GB,-3,48,Lumen Field,FALSE,,,,
12/15/24,2024,15,FALSE,TEN,27,37,CIN,CIN,-6,46,Nissan Stadium,FALSE,,,,
12/16/24,2024,15,FALSE,LVR,9,15,ATL,ATL,-6,44.5,Allegiant Stadium,FALSE,72,0,,indoor
12/16/24,2024,15,FALSE,MIN,30,12,CHI,MIN,-7,43.5,U.S. Bank Stadium,FALSE,72,0,,indoor
12/19/24,2024,16,FALSE,LAC,34,27,DEN,LAC,-2.5,41.5,SoFi Stadium,FALSE,72,0,,indoor
12/21/24,2024,16,FALSE,BAL,34,17,PIT,BAL,-7,44,M&T Bank Stadium,FALSE,,,,
12/21/24,2024,16,FALSE,KC,27,19,HOU,KC,-3.5,42.5,GEHA Field at Arrowhead Stadium,FALSE,,,,
12/22/24,2024,16,FALSE,ATL,34,7,NYG,ATL,-9.5,43,Mercedes-Benz Stadium,FALSE,72,0,,indoor
12/22/24,2024,16,FALSE,BUF,24,21,NWE,BUF,-14,48,Highmark Stadium,FALSE,,,,
12/22/24,2024,16,FALSE,CAR,36,30,ARI,ARI,-5.5,47,Bank of America Stadium,FALSE,,,,
12/22/24,2024,16,FALSE,CHI,17,34,DET,DET,-7,47.5,Soldier Field,FALSE,,,,
12/22/24,2024,16,FALSE,CIN,24,6,CLE,CIN,-10,46.5,Paycor Stadium,FALSE,,,,
12/22/24,2024,16,FALSE,DAL,26,24,TB,TB,-4.5,47.5,AT&T Stadium,FALSE,72,0,,indoor
12/22/24,2024,16,FALSE,IND,38,30,TEN,IND,-4,42.5,Lucas Oil Stadium,FALSE,72,0,,indoor
12/22/24,2024,16,FALSE,LVR,19,14,JAX,LVR,-2.5,41.5,Allegiant Stadium,FALSE,72,0,,indoor
12/22/24,2024,16,FALSE,MIA,29,17,SF,SF,-1.5,44,Hard Rock Stadium,FALSE,,,,
12/22/24,2024,16,FALSE,NYJ,9,19,LA,LAR,-3,47,MetLife Stadium,FALSE,,,,
12/22/24,2024,16,FALSE,SEA,24,27,MIN,MIN,-2.5,43,Lumen Field,FALSE,,,,
12/22/24,2024,16,FALSE,WAS,36,33,PHI,PHI,-4,47,FedEx Field,FALSE,,,,
12/23/24,2024,16,FALSE,GB,34,0,NO,GB,-14,43.5,Lambeau Field,FALSE,,,,
12/25/24,2024,17,FALSE,HOU,2,31,BAL,BAL,-6.5,47,NRG Stadium,FALSE,72,0,,indoor
12/25/24,2024,17,FALSE,PIT,10,29,KC,KC,-2,46,Acrisure Stadium,FALSE,,,,
12/26/24,2024,17,FALSE,CHI,3,6,SEA,SEA,-4.5,42,Soldier Field,FALSE,,,,
12/28/24,2024,17,FALSE,BUF,40,14,NYJ,BUF,-10,44.5,Paycor Stadium,FALSE,,,,
12/28/24,2024,17,FALSE,CIN,30,24,DEN,CIN,-3,50.5,SoFi Stadium,FALSE,72,0,,indoor
12/28/24,2024,17,FALSE,LA,13,9,ARI,LAR,-6.5,48,Gillette Stadium,FALSE,,,,
12/28/24,2024,17,FALSE,NWE,7,40,LAC,LAC,-6,42,MetLife Stadium,FALSE,,,,
12/29/24,2024,17,FALSE,CLE,3,20,MIA,MIA,-3,32.5,FirstEnergy Stadium,FALSE,,,,
12/29/24,2024,17,FALSE,JAX,20,13,TEN,JAX,-1,38,TIAA Bank Field,FALSE,,,,
12/29/24,2024,17,FALSE,MIN,27,25,GB,MIN,-1,49,U.S. Bank Stadium,FALSE,72,0,,indoor
12/29/24,2024,17,FALSE,NO,10,25,LVR,LVR,-1.5,37.5,Caesars Superdome,FALSE,72,0,,indoor
12/29/24,2024,17,FALSE,NYG,45,33,IND,IND,-7.5,40.5,Highmark Stadium,FALSE,,,,
12/29/24,2024,17,FALSE,PHI,41,7,DAL,PHI,-7.5,37.5,Lincoln Financial Field,FALSE,,,,
12/29/24,2024,17,FALSE,TB,48,14,CAR,TB,-10,47.5,Raymond James Stadium,FALSE,,,,
12/29/24,2024,17,FALSE,WAS,30,24,ATL,WAS,-3.5,46.5,FedEx Field,FALSE,,,,
12/30/24,2024,17,FALSE,SF,34,40,DET,DET,-4,50,Levi's Stadium,FALSE,,,,
1/4/25,2024,18,FALSE,BAL,35,10,CLE,BAL,-20,42,M&T Bank Stadium,FALSE,,,,
1/5/25,2024,18,FALSE,ARI,47,24,SF,ARI,-5,43,State Farm Stadium,FALSE,72,0,,indoor
1/5/25,2024,18,FALSE,ATL,38,44,CAR,ATL,-8,49,Mercedes-Benz Stadium,FALSE,72,0,,indoor
1/5/25,2024,18,FALSE,DAL,19,23,WAS,WAS,-7,43.5,AT&T Stadium,FALSE,72,0,,indoor
1/5/25,2024,18,FALSE,DEN,38,0,KC,DEN,-11,40.5,Empower Field at Mile High,FALSE,,,,
1/5/25,2024,18,FALSE,DET,31,9,MIN,DET,-3,56.5,Ford Field,FALSE,72,0,,indoor
1/5/25,2024,18,FALSE,GB,22,24,CHI,GB,-10,41.5,Lambeau Field,FALSE,,,,
1/5/25,2024,18,FALSE,IND,26,23,JAX,IND,-3.5,45.5,Lucas Oil Stadium,FALSE,72,0,,indoor
1/5/25,2024,18,FALSE,LVR,20,34,LAC,LAC,-7,42,Allegiant Stadium,FALSE,72,0,,indoor
1/5/25,2024,18,FALSE,LA,25,30,SEA,SEA,-7.5,38.5,SoFi Stadium,FALSE,72,0,,indoor
1/5/25,2024,18,FALSE,NWE,23,16,BUF,BUF,-3.5,36.5,Gillette Stadium,FALSE,,,,
1/5/25,2024,18,FALSE,NYJ,32,20,MIA,NYJ,-2,39.5,MetLife Stadium,FALSE,,,,
1/5/25,2024,18,FALSE,PHI,20,13,NYG,PHI,-3,36,Lincoln Financial Field,FALSE,,,,
1/5/25,2024,18,FALSE,PIT,17,19,CIN,CIN,-2.5,48.5,Acrisure Stadium,FALSE,,,,
1/5/25,2024,18,FALSE,TB,27,19,NO,TB,-14.5,44.5,Raymond James Stadium,FALSE,,,,
1/5/25,2024,18,FALSE,TEN,14,23,HOU,TEN,-2.5,36.5,Nissan Stadium,FALSE,,,,
1/11/25,2024,Wildcard,TRUE,HOU,32,12,LAC,LAC,-2.5,42,NRG Stadium,FALSE,72,0,,indoor
1/12/25,2024,Wildcard,TRUE,BAL,28,14,PIT,BAL,-9,44.5,M&T Bank Stadium,FALSE,32,12,54,
1/12/25,2024,Wildcard,TRUE,BUF,31,7,DEN,BUF,-7.5,49,Highmark Stadium,FALSE,32,10,76,
1/12/25,2024,Wildcard,TRUE,PHI,22,10,GB,PHI,-5.5,46,Lincoln Financial Field,FALSE,40,6,47,
1/12/25,2024,Wildcard,TRUE,TB,20,23,WAS,TB,-3,51.5,Raymond James Stadium,FALSE,58,2,57,
1/13/25,2024,Wildcard,TRUE,LA,27,9,MIN,MIN,-2.5,48,State Farm Stadium,TRUE,72,0,,indoor
1/18/25,2024,Division,TRUE,DET,31,45,WAS,DET,-8,55,Ford Field,FALSE,72,0,,indoor
1/18/25,2024,Division,TRUE,KC,23,14,HOU,KC,-9.5,41.5,GEHA Field at Arrowhead Stadium,FALSE,23,17,43,
1/19/25,2024,Division,TRUE,BUF,27,25,BAL,BAL,-1.5,52,Highmark Stadium,FALSE,19,4,84,snow
1/19/25,2024,Division,TRUE,PHI,28,22,LA,PHI,-7,43.5,Lincoln Financial Field,FALSE,34,8,67,snow
1/26/25,2024,Conference,TRUE,PHI,55,23,WAS,PHI,-6,47,Lincoln Financial Field,FALSE,40,11,45,
1/26/25,2024,Conference,TRUE,KC,32,29,BUF,KC,-1,49.5,GEHA Field at Arrowhead Stadium,FALSE,31,8,45,
2/9/25,2024,Superbowl,TRUE,PHI,40,22,KC,KC,-1,48.5,Caesars Superdome,TRUE,72,0,0,indoor
10/28/25,2025,8,FALSE,KC,28,7,WAS,KC,-11,48,GEHA Field at Arrowhead Stadium,FALSE,54,8,94,
10/27/25,2025,8,FALSE,PIT,25,35,GB,GB,-3,45.5,Acrisure Stadium,FALSE,46,5,56,
10/26/25,2025,8,FALSE,ATL,10,34,MIA,ATL,-7,44.5,Mercedes-Benz Stadium,FALSE,72,0,,indoor
10/26/25,2025,8,FALSE,BAL,30,16,CHI,BAL,-2.5,45,M&T Bank Stadium,FALSE,60,2,38,
10/26/25,2025,8,FALSE,CAR,9,40,BUF,BUF,-7,46.5,Bank of America Stadium,FALSE,63,9,36,
10/26/25,2025,8,FALSE,CIN,38,39,NYJ,CIN,-6.5,44.5,Paycor Stadium,FALSE,57,8,48,
10/26/25,2025,8,FALSE,HOU,26,15,SF,HOU,-2,42,NRG Stadium,FALSE,72,0,,indoor
10/26/25,2025,8,FALSE,NWE,32,13,CLE,NE,-7,41,Gillette Stadium,FALSE,53,7,52,
10/26/25,2025,8,FALSE,PHI,38,20,NYG,PHI,-7,44,Lincoln Financial Field,FALSE,60,4,41,
10/26/25,2025,8,FALSE,NO,3,23,TB,TB,-3.5,46.5,Caesars Superdome,FALSE,72,0,,indoor
10/26/25,2025,8,FALSE,DEN,44,24,DAL,DEN,-3.5,51,Empower Field at Mile High,FALSE,67,4,25,
10/26/25,2025,8,FALSE,IND,38,14,TEN,IND,-14.5,48.5,Lucas Oil Stadium,FALSE,72,0,,indoor
10/24/25,2025,8,FALSE,LAC,37,10,MIN,LAC,-3.5,44.5,SoFi Stadium,FALSE,72,0,,indoor
10/21/25,2025,7,FALSE,SEA,27,19,HOU,SEA,-3,41,Lumen Field,FALSE,56,5,54,
10/20/25,2025,7,FALSE,SF,20,10,ATL,SF,-2,47,Levi's Stadium,FALSE,74,5,49,
10/20/25,2025,7,FALSE,DET,24,9,TB,DET,-6,53,Ford Field,FALSE,72,0,,indoor
10/19/25,2025,7,FALSE,JAX,7,35,LA,LAR,-3,44,Wembley Stadium,TRUE,59,9,95,
10/19/25,2025,7,FALSE,CHI,26,14,NO,CHI,-4,45.5,Soldier Field,FALSE,49,8,87,
10/19/25,2025,7,FALSE,CLE,31,6,MIA,CLE,-2.5,35.5,Huntington Bank Field,FALSE,65,17,85,
10/19/25,2025,7,FALSE,KC,31,0,LVR,KC,-12,45.5,GEHA Field at Arrowhead Stadium,FALSE,57,9,41,
10/19/25,2025,7,FALSE,MIN,22,28,PHI,PHI,-1.5,44,U.S. Bank Stadium,FALSE,72,0,,indoor
10/19/25,2025,7,FALSE,NYJ,6,13,CAR,CAR,-1,41,MetLife Stadium,FALSE,71,13,70,
10/19/25,2025,7,FALSE,TEN,13,31,NWE,NE,-7,42,Nissan Stadium,FALSE,60,18,78,
10/19/25,2025,7,FALSE,DEN,33,32,NYG,DEN,-7.5,40.5,Empower Field at Mile High,FALSE,72,3,17,
10/19/25,2025,7,FALSE,LAC,24,38,IND,LAR,-3,44,SoFi Stadium,FALSE,59,9,95,
10/19/25,2025,7,FALSE,ARI,23,27,GB,GB,-7,44.5,State Farm Stadium,FALSE,72,0,,indoor
10/19/25,2025,7,FALSE,DAL,44,22,WAS,DAL,-1,54,AT&T Stadium,FALSE,72,0,,indoor
10/17/25,2025,7,FALSE,CIN,33,31,PIT,PIT,-5.5,44.5,Paycor Stadium,FALSE,60,5,74,
10/14/25,2025,6,FALSE,WAS,24,25,CHI,WAS,-5.5,49.5,Northwest Stadium,FALSE,59,12,82,
10/13/25,2025,6,FALSE,KC,30,17,DET,KC,-2.5,53,GEHA Field at Arrowhead Stadium,FALSE,85,13,37,
10/13/25,2025,6,FALSE,ATL,24,14,BUF,BUF,-4,50,Mercedes-Benz Stadium,FALSE,72,0,,indoor
10/12/25,2025,6,FALSE,NYJ,11,13,DEN,DEN,-7,43.5,Tottenham Hotspur Stadium,FALSE,59,6,69,
10/12/25,2025,6,FALSE,BAL,3,17,LA,LAR,-7,44.5,M&T Bank Stadium,FALSE,64,15,66,
10/12/25,2025,6,FALSE,CAR,30,27,DAL,DAL,-3,68,Bank of America Stadium,FALSE,68,15,71,
10/12/25,2025,6,FALSE,IND,31,27,ARI,IND,-9.5,46.5,Lucas Oil Stadium,FALSE,72,0,,indoor
10/12/25,2025,6,FALSE,JAX,12,20,SEA,PICK,0,47.5,EverBank Stadium,FALSE,76,8,59,
10/12/25,2025,6,FALSE,MIA,27,29,LAC,LAC,-4,43.5,Hard Rock Stadium,FALSE,85,4,62,
10/12/25,2025,6,FALSE,PIT,23,9,CLE,PIT,-6,38,Acrisure Stadium,FALSE,64,8,77,
10/12/25,2025,6,FALSE,NO,19,25,NWE,NE,-3.5,46,Caesars Superdome,FALSE,72,0,,indoor
10/12/25,2025,6,FALSE,LVR,20,10,TEN,LVR,-4,42,Allegiant Stadium,FALSE,72,0,,indoor
10/12/25,2025,6,FALSE,TB,30,19,SF,TB,-3,47,Raymond James Stadium,FALSE,82,10,49,
10/12/25,2025,6,FALSE,GB,27,18,CIN,GB,-14,45,Lambeau Field,FALSE,64,14,56,
10/9/25,2025,6,FALSE,NYG,34,17,PHI,PHI,-8,40,MetLife Stadium,FALSE,53,3,31,
10/6/25,2025,5,FALSE,JAX,31,28,KC,KC,-3.5,45.5,EverBank Stadium,FALSE,80,12,79,
10/5/25,2025,5,FALSE,CLE,17,21,MIN,MIN,-3.5,35.5,Tottenham Hotspur Stadium,TRUE,61,14,48,
10/5/25,2025,5,FALSE,NO,26,14,NYG,NO,-2,42,Caesars Superdome,FALSE,72,0,,indoor
10/5/25,2025,5,FALSE,NYJ,22,37,DAL,DAL,-1.5,48,MetLife Stadium,FALSE,82,3,46,
10/5/25,2025,5,FALSE,CAR,27,24,MIA,MIA,-1,44,Bank of America Stadium,FALSE,77,8,57,
10/5/25,2025,5,FALSE,BAL,10,44,HOU,HOU,-1,40.5,M&T Bank Stadium,FALSE,78,2,45,
10/5/25,2025,5,FALSE,IND,40,6,LVR,IND,-7,48,Lucas Oil Stadium,FALSE,72,0,,indoor
10/5/25,2025,5,FALSE,PHI,17,21,DEN,PHI,-4,43.5,Lincoln Financial Field,FALSE,80,6,43,
10/5/25,2025,5,FALSE,ARI,21,22,TEN,ARI,-7.5,41,State Farm Stadium,FALSE,72,0,,indoor
10/5/25,2025,5,FALSE,SEA,35,38,TB,SEA,-3.5,44.5,Lumen Field,FALSE,61,8,73,
10/5/25,2025,5,FALSE,LAC,10,27,WAS,LAC,-3,47,SoFi Stadium,FALSE,72,0,,indoor
10/5/25,2025,5,FALSE,CIN,24,37,DET,DET,-10.5,49.5,Paycor Stadium,FALSE,84,7,39,
10/5/25,2025,5,FALSE,BUF,20,23,NWE,BUF,-9,48.5,Highmark Stadium,FALSE,66,3,58,
10/2/25,2025,5,FALSE,LA,23,26,SF,LAR,-9,45,SoFi Stadium,FALSE,72,0,,indoor
9/29/25,2025,4,FALSE,MIA,27,17,NYJ,MIA,-2.5,44.5,Hard Rock Stadium,FALSE,88,17,57,
9/29/25,2025,4,FALSE,DEN,28,3,CIN,DEN,-7.5,44,Empower Field at Mile High,FALSE,66,12,55,
9/28/25,2025,4,FALSE,PIT,24,21,MIN,MIN,-2.5,41,Croke Park,TRUE,61,5,70,
9/28/25,2025,4,FALSE,ATL,34,27,WAS,ATL,-1.5,43.5,Mercedes-Benz Stadium,FALSE,72,0,,indoor
9/28/25,2025,4,FALSE,BUF,31,19,NO,BUF,-15.5,47.5,Highmark Stadium,FALSE,73,7,56,
9/28/25,2025,4,FALSE,DET,34,10,CLE,DET,-10,44,Ford Field,FALSE,72,0,,indoor
9/28/25,2025,4,FALSE,HOU,26,0,TEN,HOU,-7,39.5,NRG Stadium,FALSE,72,0,,indoor
9/28/25,2025,4,FALSE,NWE,42,13,CAR,NE,-5,43,Gillette Stadium,FALSE,76,7,70,
9/28/25,2025,4,FALSE,NYG,21,18,LAC,LAC,-6.5,43.5,MetLife Stadium,FALSE,81,4,53,
9/28/25,2025,4,FALSE,TB,25,31,PHI,PHI,-3.5,44,Raymond James Stadium,FALSE,88,6,61,
9/28/25,2025,4,FALSE,LA,27,20,IND,LAR,-3.5,49.5,SoFi Stadium,FALSE,72,0,,indoor
9/28/25,2025,4,FALSE,SF,21,26,JAX,SF,-3.5,46,Levi's Stadium,FALSE,72,7,72,
9/28/25,2025,4,FALSE,KC,37,20,BAL,BAL,-2.5,48.5,GEHA Field at Arrowhead Stadium,FALSE,89,10,38,
9/28/25,2025,4,FALSE,LVR,24,25,CHI,PICK,0,47.5,Allegiant Stadium,FALSE,72,0,,indoor
9/28/25,2025,4,FALSE,DAL,40,40,GB,GB,-6.5,46.5,AT&T Stadium,FALSE,72,0,,indoor
9/25/25,2025,4,FALSE,ARI,20,23,SEA,SEA,-1.5,43,State Farm Stadium,FALSE,72,0,,indoor
9/22/25,2025,3,FALSE,BAL,30,38,DET,BAL,-4,53,M&T Bank Stadium,FALSE,74,7,64,
9/21/25,2025,3,FALSE,CAR,30,0,ATL,ATL,-4.5,44,Bank of America Stadium,FALSE,83,5,51,
